,YEAR,COUNT_PER_TEN_DAYS,PRODUCT_CODE,MIN_PRODUCT_COST,MAX_PRODUCT_COST,AVG_PRODUCT_COST,UNIT
91,2021,1,316,2362.0,2832.0,2486.25,kg
92,2021,1,317,3111.0,3961.0,3415.0,kg
93,2021,1,411,5720.0,5950.0,5901.25,kg
94,2021,1,412,4657.333333333334,4904.0,4791.5,kg
95,2021,1,414,12295.0,12995.0,12695.0,kg
96,2021,1,415,2476.0,2596.0,2541.0,kg
97,2021,1,416,3556.0,3960.0,3695.0,kg
98,2021,1,418,1341.5384615384614,1386.1538461538462,1357.8846153846152,kg
99,2021,1,419,4170.0,4282.0,4220.5,kg
100,2021,1,420,1520.0,1628.3333333333335,1597.7083333333333,kg
101,2021,1,421,3338.8888888888887,3366.666666666667,3359.722222222223,kg
102,2021,1,424,2843.529411764706,3536.470588235294,3220.588235294117,kg
103,2021,1,428,10792.0,10832.0,10817.0,kg
104,2021,2,111,2787.5,2802.5,2793.214285714286,kg
105,2021,2,112,3195.0,3195.0,3195.0,kg
106,2021,2,141,5310.003571428571,5321.428571428572,5311.635714285714,kg
107,2021,2,142,9617.916666666666,9622.916666666666,9622.20238095238,kg
108,2021,2,143,13101.666666666666,13421.666666666666,13201.42857142857,kg
109,2021,2,144,3633.0,3633.0,3633.0,kg
110,2021,2,151,4329.0,4369.0,4351.857142857143,kg
111,2021,2,152,2537.375,2630.4375,2601.5446428571427,kg
112,2021,2,211,540.4,662.4,588.9714285714286,kg
113,2021,2,212,1097.0,1329.125,1228.875,kg
114,2021,2,213,3170.0,3507.5,3264.285714285714,kg
115,2021,2,214,5555.0,6515.0,6000.357142857143,kg
116,2021,2,215,1613.5,2112.0,1809.4285714285713,kg
117,2021,2,221,6384.0,6834.0,6519.714285714285,개
118,2021,2,223,1966.445,2055.72,1995.4916666666666,개
119,2021,2,224,2103.0,2760.0,2385.714285714286,kg
120,2021,2,225,3328.0,3428.0,3385.1428571428573,kg
121,2021,2,226,11065.0,11750.0,11523.57142857143,kg
122,2021,2,231,564.5,620.0,593.7857142857143,kg
123,2021,2,232,1481.3333333333333,1561.3333333333333,1523.2380952380952,kg
124,2021,2,233,1845.5,2451.5,2209.3928571428573,kg
125,2021,2,241,28731.666666666668,28731.666666666668,28731.666666666664,kg
126,2021,2,242,7799.833333333333,9046.833333333334,8469.642857142857,kg
127,2021,2,243,4647.0,4901.0,4777.285714285715,kg
128,2021,2,244,5178.0,5178.0,5178.0,kg
129,2021,2,245,1771.0,1843.0,1806.4285714285713,kg
130,2021,2,246,7681.0,8341.0,7996.0,kg
131,2021,2,247,6835.333333333333,6868.666666666667,6859.142857142858,kg
132,2021,2,252,4439.333333333333,6269.333333333334,4887.428571428572,kg
133,2021,2,253,11700.0,15200.0,13074.285714285714,kg
134,2021,2,255,5581.0,8326.0,6422.428571428572,kg
135,2021,2,256,7180.0,7580.0,7385.142857142857,kg
136,2021,2,257,3577.5,3602.5,3591.785714285714,kg
137,2021,2,258,6575.0,6575.0,6575.0,kg
138,2021,2,422,3957.0,4577.0,4201.142857142857,kg
139,2021,2,312,17455.0,17460.558333333334,17455.79404761905,kg
140,2021,2,313,11821.733333333332,11892.844444444445,11847.765079365081,kg
141,2021,2,314,12718.883333333333,12896.666666666668,12820.473809523812,kg
142,2021,2,315,3763.5,3938.5,3855.1428571428573,kg
143,2021,2,316,2404.0,3132.0,2770.8571428571427,kg
144,2021,2,317,4044.0,4518.0,4311.142857142857,kg
145,2021,2,411,6090.0,6430.0,6212.857142857143,kg
146,2021,2,412,4957.333333333333,5054.666666666667,5002.857142857143,kg
147,2021,2,414,12395.0,12395.0,12395.0,kg
148,2021,2,415,2476.0,2636.0,2556.0,kg
149,2021,2,416,3852.0,4120.0,3992.5714285714284,kg
150,2021,2,418,1386.1538461538462,1490.7692307692307,1434.0659340659342,kg
151,2021,2,419,4170.0,4206.0,4185.428571428572,kg
152,2021,2,420,1660.0,1661.6666666666665,1661.428571428571,kg
153,2021,2,421,3332.2222222222226,3553.333333333333,3460.476190476191,kg
154,2021,2,424,3718.823529411765,3845.8823529411766,3806.5546218487398,kg
155,2021,2,428,10812.0,10872.0,10823.42857142857,kg
